(49.257824, -122.983704)
(49.266567, -122.968769)
(49.254685, -122.991858)
(49.248239, -122.982416)
(49.256479, -122.971601)
(49.262364, -122.974691)
(49.264998, -122.99469)
(49.249416, -122.984219)
(49.263149, -122.979498)
(49.265989, -122.966022)
(49.274507, -122.996063)
(49.253659, -123.020782)
(49.232128, -123.025589)
(49.222145, -122.863026)
(49.254892, -122.856846)
(49.224501, -122.957096)
(49.215189, -123.020096)
(49.186148, -123.05254)
(49.324648, -123.047562)
(49.345019, -122.824402)
(49.387611, -122.687073)
(49.184342, -122.454987)
(49.156491, -122.455845)
(49.145979, -122.348385)
(49.170916, -122.340145)
(49.114284, -122.332935)
(49.084032, -122.270966)
(49.056913, -122.331905)
(49.049821, -122.251053)
(49.128336, -122.246418)
(49.085607, -122.13913)
(49.056238, -122.138271)
(49.062653, -122.221012)
(49.10304, -122.165222)
(49.046331, -122.1175)
(49.035072, -122.164707)
(49.02997, -122.040081)
(49.214881, -121.959743)
(49.219032, -121.985149)
(49.224529, -122.010555)
(49.235185, -122.035961)
